signal_idx,ts,entry_time,exit_time,pred,side,entry_price,exit_price,pnl,entry_signal_prob,last_signal_prob,target_updates,last_target_signal_idx,last_target_time,last_target_price,exit_reason
1,2026-02-03T18:28:00+00:00,2026-02-03T18:28:00+00:00,2026-02-03T18:29:00+00:00,2,up,4926.68,4909.23,-17.450000000000728,0.6217447000294714,0.6217447000294714,0,1,2026-02-03T18:53:00+00:00,4906.81,reverse_signal
5,2026-02-03T18:32:00+00:00,2026-02-03T18:32:00+00:00,2026-02-03T18:35:00+00:00,0,down,4890.98,4901.81,-10.830000000000837,0.5855647490367997,0.5715951916022409,1,6,2026-02-03T18:58:00+00:00,4908.98,reverse_signal
11,2026-02-03T18:38:00+00:00,2026-02-03T18:38:00+00:00,2026-02-03T19:09:00+00:00,2,up,4898.62,4881.67,-16.949999999999818,0.9063682089934937,0.9174853655741607,7,37,2026-02-03T19:29:00+00:00,4930.4,reverse_signal
43,2026-02-03T19:10:00+00:00,2026-02-03T19:10:00+00:00,2026-02-03T19:11:00+00:00,2,up,4890.5,4898.65,8.149999999999636,0.8343144784870469,0.8343144784870469,0,43,2026-02-03T19:35:00+00:00,4935.41,reverse_signal
46,2026-02-03T19:13:00+00:00,2026-02-03T19:13:00+00:00,2026-02-03T19:25:00+00:00,0,down,4910.15,4921.62,-11.470000000000255,0.9675852796502025,0.9490166578499951,1,54,2026-02-03T19:46:00+00:00,4934.77,reverse_signal
59,2026-02-03T19:26:00+00:00,2026-02-03T19:26:00+00:00,2026-02-03T19:27:00+00:00,2,up,4918.69,4923.33,4.640000000000327,0.6111152947354549,0.6111152947354549,0,59,2026-02-03T19:51:00+00:00,4930.86,reverse_signal
61,2026-02-03T19:28:00+00:00,2026-02-03T19:28:00+00:00,2026-02-03T19:30:00+00:00,2,up,4928.08,4925.56,-2.519999999999527,0.6058344882147804,0.6058344882147804,0,61,2026-02-03T19:53:00+00:00,4924.39,reverse_signal
64,2026-02-03T19:31:00+00:00,2026-02-03T19:31:00+00:00,2026-02-03T19:33:00+00:00,2,up,4924.07,4930.33,6.260000000000218,0.9108669769419413,0.9108669769419413,0,64,2026-02-03T19:56:00+00:00,4925.55,reverse_signal
67,2026-02-03T19:34:00+00:00,2026-02-03T19:34:00+00:00,2026-02-03T19:35:00+00:00,2,up,4925.1,4935.41,10.30999999999949,0.7444985678804257,0.7444985678804257,0,67,2026-02-03T19:59:00+00:00,4927.46,reverse_signal
70,2026-02-03T19:37:00+00:00,2026-02-03T19:37:00+00:00,2026-02-03T19:38:00+00:00,2,up,4937.76,4939.9,2.139999999999418,0.7313693993885225,0.7313693993885225,0,70,2026-02-03T20:02:00+00:00,4919.41,reverse_signal
72,2026-02-03T19:39:00+00:00,2026-02-03T19:39:00+00:00,2026-02-03T19:46:00+00:00,0,down,4939.21,4934.77,4.4399999999996,0.650668810783606,0.8809425767148762,1,73,2026-02-03T20:05:00+00:00,4909.1,reverse_signal
80,2026-02-03T19:47:00+00:00,2026-02-03T19:47:00+00:00,2026-02-03T20:04:00+00:00,2,up,4934.87,4910.21,-24.659999999999854,0.7089113433542463,0.8390160154801318,7,95,2026-02-03T20:27:00+00:00,4941.82,reverse_signal
98,2026-02-03T20:05:00+00:00,2026-02-03T20:05:00+00:00,2026-02-03T20:08:00+00:00,0,down,4909.1,4915.99,-6.889999999999418,0.6116647467045405,0.6116647467045405,0,98,2026-02-03T20:30:00+00:00,4942.92,reverse_signal
103,2026-02-03T20:10:00+00:00,2026-02-03T20:10:00+00:00,2026-02-03T20:33:00+00:00,2,up,4913.29,4944.46,31.170000000000073,0.8881847987339214,0.9106672079743545,1,105,2026-02-03T20:37:00+00:00,4956.34,reverse_signal
127,2026-02-03T20:34:00+00:00,2026-02-03T20:34:00+00:00,2026-02-03T20:38:00+00:00,0,down,4955.48,4953.82,1.6599999999998545,0.8115505112220833,0.9217778254458764,2,129,2026-02-03T21:01:00+00:00,4940.02,reverse_signal
132,2026-02-03T20:39:00+00:00,2026-02-03T20:39:00+00:00,2026-02-03T20:51:00+00:00,2,up,4951.97,4937.5,-14.470000000000255,0.8154071600631586,0.7434981262900996,2,139,2026-02-03T21:11:00+00:00,4963.21,reverse_signal
145,2026-02-03T20:52:00+00:00,2026-02-03T20:52:00+00:00,2026-02-03T20:59:00+00:00,2,up,4942.35,4944.31,1.9600000000000364,0.9020973109931802,0.8431949167549236,0,145,2026-02-03T21:17:00+00:00,4953.01,reverse_signal
156,2026-02-03T21:03:00+00:00,2026-02-03T21:03:00+00:00,2026-02-03T21:11:00+00:00,0,down,4949.04,4963.21,-14.170000000000073,0.826478024828706,0.9575410586191808,0,156,2026-02-03T21:28:00+00:00,4950.85,reverse_signal
165,2026-02-03T21:12:00+00:00,2026-02-03T21:12:00+00:00,2026-02-03T21:37:00+00:00,2,up,4958.63,4953.58,-5.050000000000182,0.9044497521361136,0.9999486696848727,0,165,2026-02-03T21:37:00+00:00,4953.58,signal_target
192,2026-02-03T21:39:00+00:00,2026-02-03T21:39:00+00:00,2026-02-03T23:05:00+00:00,2,up,4945.52,4948.85,3.3299999999999272,0.9999569552230517,0.9926188383563656,0,192,2026-02-03T23:05:00+00:00,4948.85,signal_target
218,2026-02-03T23:06:00+00:00,2026-02-03T23:06:00+00:00,2026-02-04T00:21:00+00:00,2,up,4948.48,4998.04,49.5600000000004,0.9932605730733847,0.8137667859386961,21,268,2026-02-04T00:21:00+00:00,4998.04,signal_target
294,2026-02-04T00:22:00+00:00,2026-02-04T00:22:00+00:00,2026-02-04T00:34:00+00:00,2,up,4992.83,4980.37,-12.460000000000036,0.9378598474820825,0.6398309712866915,5,305,2026-02-04T00:58:00+00:00,5016.12,reverse_signal
307,2026-02-04T00:35:00+00:00,2026-02-04T00:35:00+00:00,2026-02-04T01:01:00+00:00,0,down,4981.46,5008.86,-27.399999999999636,0.9059379357985868,0.8927942175042229,1,308,2026-02-04T01:01:00+00:00,5008.86,signal_target
332,2026-02-04T01:30:00+00:00,2026-02-04T01:30:00+00:00,2026-02-04T01:56:00+00:00,0,down,5026.05,5037.77,-11.720000000000255,0.6744485173757833,0.8525564100310639,1,333,2026-02-04T01:56:00+00:00,5037.77,signal_target
359,2026-02-04T01:57:00+00:00,2026-02-04T01:57:00+00:00,2026-02-04T02:08:00+00:00,0,down,5039.13,5061.21,-22.079999999999927,0.9105610629570542,0.562627474499815,3,368,2026-02-04T02:31:00+00:00,5049.5,reverse_signal
371,2026-02-04T02:09:00+00:00,2026-02-04T02:09:00+00:00,2026-02-04T02:37:00+00:00,2,up,5061.98,5044.0,-17.979999999999563,0.981801292449827,0.8962712895545061,3,380,2026-02-04T02:43:00+00:00,5061.11,reverse_signal
400,2026-02-04T02:38:00+00:00,2026-02-04T02:38:00+00:00,2026-02-04T02:41:00+00:00,0,down,5042.33,5048.02,-5.690000000000509,0.7021952615120783,0.6584321940487906,0,400,2026-02-04T03:03:00+00:00,5045.4,reverse_signal
404,2026-02-04T02:42:00+00:00,2026-02-04T02:42:00+00:00,2026-02-04T02:45:00+00:00,2,up,5056.45,5060.25,3.800000000000182,0.8291826105545852,0.8291826105545852,0,404,2026-02-04T03:07:00+00:00,5043.5,reverse_signal
408,2026-02-04T02:46:00+00:00,2026-02-04T02:46:00+00:00,2026-02-04T02:59:00+00:00,0,down,5055.71,5040.94,14.770000000000437,0.9881030428102129,0.5570310646192906,6,415,2026-02-04T03:18:00+00:00,5040.94,reverse_signal
422,2026-02-04T03:00:00+00:00,2026-02-04T03:00:00+00:00,2026-02-04T03:03:00+00:00,0,down,5037.65,5045.4,-7.75,0.9757764437333432,0.9799631554499454,0,422,2026-02-04T03:25:00+00:00,5047.91,reverse_signal
427,2026-02-04T03:05:00+00:00,2026-02-04T03:05:00+00:00,2026-02-04T03:54:00+00:00,2,up,5049.56,5073.08,23.519999999999527,0.9982178819181734,0.9803666336891396,8,451,2026-02-04T03:54:00+00:00,5073.08,signal_target
467,2026-02-04T04:47:00+00:00,2026-02-04T04:47:00+00:00,2026-02-04T05:15:00+00:00,2,up,5075.75,5083.61,7.859999999999673,0.9998765854348046,0.999875299890462,1,470,2026-02-04T05:15:00+00:00,5083.61,signal_target
496,2026-02-04T05:16:00+00:00,2026-02-04T05:16:00+00:00,2026-02-04T05:47:00+00:00,2,up,5083.34,5088.85,5.510000000000218,0.9997918551108393,0.9983334001803423,3,502,2026-02-04T05:47:00+00:00,5088.85,signal_target
505,2026-02-04T15:00:00+00:00,2026-02-04T15:00:00+00:00,2026-02-04T15:24:00+00:00,0,down,4983.16,4965.9,17.26000000000022,0.8274598144537645,0.9604007945150179,9,516,2026-02-04T15:36:00+00:00,4900.92,reverse_signal
530,2026-02-04T15:25:00+00:00,2026-02-04T15:25:00+00:00,2026-02-04T15:35:00+00:00,2,up,4971.1,4911.0,-60.100000000000364,0.6182369301646866,0.9489380047634504,1,532,2026-02-04T15:52:00+00:00,4943.94,reverse_signal
541,2026-02-04T15:36:00+00:00,2026-02-04T15:36:00+00:00,2026-02-04T15:38:00+00:00,2,up,4900.92,4911.82,10.899999999999636,0.6844198756076356,0.6844198756076356,0,541,2026-02-04T16:01:00+00:00,4918.04,reverse_signal
545,2026-02-04T15:40:00+00:00,2026-02-04T15:40:00+00:00,2026-02-04T16:21:00+00:00,0,down,4923.52,4893.07,30.450000000000728,0.8503585816718731,0.9754203462907681,4,561,2026-02-04T16:21:00+00:00,4893.07,signal_target
588,2026-02-04T16:23:00+00:00,2026-02-04T16:23:00+00:00,2026-02-04T16:26:00+00:00,2,up,4893.16,4910.75,17.590000000000146,0.7202648570393358,0.7202648570393358,0,588,2026-02-04T16:48:00+00:00,4863.97,reverse_signal
593,2026-02-04T16:28:00+00:00,2026-02-04T16:28:00+00:00,2026-02-04T16:33:00+00:00,0,down,4920.77,4927.97,-7.199999999999818,0.8785483528093028,0.8785483528093028,0,593,2026-02-04T16:53:00+00:00,4900.33,reverse_signal
599,2026-02-04T16:34:00+00:00,2026-02-04T16:34:00+00:00,2026-02-04T16:40:00+00:00,2,up,4925.08,4904.42,-20.659999999999854,0.9104623940275441,0.6916774772572554,1,604,2026-02-04T17:04:00+00:00,4915.0,reverse_signal
606,2026-02-04T16:41:00+00:00,2026-02-04T16:41:00+00:00,2026-02-04T17:12:00+00:00,2,up,4903.39,4916.56,13.170000000000073,0.9595400164842325,0.8164003131440694,8,630,2026-02-04T17:30:00+00:00,4925.31,reverse_signal
639,2026-02-04T17:14:00+00:00,2026-02-04T17:14:00+00:00,2026-02-04T17:19:00+00:00,0,down,4921.31,4908.23,13.080000000000837,0.8422621847649673,0.6738345157469777,0,639,2026-02-04T17:39:00+00:00,4911.37,reverse_signal
645,2026-02-04T17:20:00+00:00,2026-02-04T17:20:00+00:00,2026-02-04T17:28:00+00:00,2,up,4910.27,4918.96,8.6899999999996,0.978260605522073,0.5591410632835779,2,651,2026-02-04T17:51:00+00:00,4903.86,reverse_signal
655,2026-02-04T17:30:00+00:00,2026-02-04T17:30:00+00:00,2026-02-04T17:44:00+00:00,0,down,4925.31,4908.15,17.160000000000764,0.8535735793342698,0.7927666628886505,1,662,2026-02-04T18:02:00+00:00,4881.98,reverse_signal
670,2026-02-04T17:45:00+00:00,2026-02-04T17:45:00+00:00,2026-02-04T17:51:00+00:00,2,up,4900.0,4903.86,3.8599999999996726,0.908411543791094,0.6851625446878147,0,670,2026-02-04T18:10:00+00:00,4911.88,reverse_signal
677,2026-02-04T17:52:00+00:00,2026-02-04T17:52:00+00:00,2026-02-04T17:54:00+00:00,2,up,4900.03,4897.91,-2.119999999999891,0.6804775996404497,0.6804775996404497,0,677,2026-02-04T18:17:00+00:00,4914.61,reverse_signal
680,2026-02-04T17:55:00+00:00,2026-02-04T17:55:00+00:00,2026-02-04T17:57:00+00:00,2,up,4898.84,4903.82,4.979999999999563,0.8324532552845877,0.8324532552845877,0,680,2026-02-04T18:20:00+00:00,4899.6,reverse_signal
683,2026-02-04T17:58:00+00:00,2026-02-04T17:58:00+00:00,2026-02-04T18:06:00+00:00,2,up,4904.47,4909.37,4.899999999999636,0.971669112223662,0.8469020459025548,4,688,2026-02-04T18:28:00+00:00,4934.52,reverse_signal
692,2026-02-04T18:07:00+00:00,2026-02-04T18:07:00+00:00,2026-02-04T18:09:00+00:00,2,up,4917.69,4911.43,-6.259999999999309,0.6461530609422317,0.6461530609422317,0,692,2026-02-04T18:32:00+00:00,4923.88,reverse_signal
696,2026-02-04T18:11:00+00:00,2026-02-04T18:11:00+00:00,2026-02-04T18:13:00+00:00,0,down,4909.73,4909.13,0.5999999999994543,0.92222647282473,0.92222647282473,0,696,2026-02-04T18:36:00+00:00,4918.34,reverse_signal
699,2026-02-04T18:14:00+00:00,2026-02-04T18:14:00+00:00,2026-02-04T18:27:00+00:00,2,up,4910.38,4928.33,17.949999999999818,0.9753967994548564,0.9240351742355606,2,703,2026-02-04T18:43:00+00:00,4922.6,reverse_signal
713,2026-02-04T18:28:00+00:00,2026-02-04T18:28:00+00:00,2026-02-04T18:29:00+00:00,2,up,4934.52,4926.5,-8.020000000000437,0.6479002159141074,0.6479002159141074,0,713,2026-02-04T18:53:00+00:00,4913.62,reverse_signal
715,2026-02-04T18:30:00+00:00,2026-02-04T18:30:00+00:00,2026-02-04T18:47:00+00:00,2,up,4925.34,4916.87,-8.470000000000255,0.8435306836584504,0.9979877551108735,4,728,2026-02-04T19:08:00+00:00,4941.25,reverse_signal
733,2026-02-04T18:48:00+00:00,2026-02-04T18:48:00+00:00,2026-02-04T19:15:00+00:00,2,up,4919.1,4945.64,26.539999999999964,0.9196528239705583,0.9995230059268909,1,735,2026-02-04T19:15:00+00:00,4945.64,signal_target
761,2026-02-04T19:16:00+00:00,2026-02-04T19:16:00+00:00,2026-02-04T19:52:00+00:00,2,up,4941.97,4953.79,11.819999999999709,0.9853538406419569,0.6251210965275128,2,772,2026-02-04T19:52:00+00:00,4953.79,signal_target
798,2026-02-04T19:53:00+00:00,2026-02-04T19:53:00+00:00,2026-02-04T20:00:00+00:00,2,up,4949.35,4937.48,-11.8700000000008,0.8780149349956118,0.9879541891006269,2,803,2026-02-04T20:23:00+00:00,4931.02,reverse_signal
806,2026-02-04T20:01:00+00:00,2026-02-04T20:01:00+00:00,2026-02-04T20:07:00+00:00,0,down,4939.35,4938.05,1.300000000000182,0.9435277791095086,0.9435277791095086,0,806,2026-02-04T20:26:00+00:00,4928.6,reverse_signal
814,2026-02-04T20:09:00+00:00,2026-02-04T20:09:00+00:00,2026-02-04T20:41:00+00:00,2,up,4940.29,4949.27,8.980000000000473,0.9964777237297008,0.9763995426964821,4,821,2026-02-04T20:41:00+00:00,4949.27,signal_target
847,2026-02-04T20:42:00+00:00,2026-02-04T20:42:00+00:00,2026-02-04T21:53:00+00:00,2,up,4947.04,4970.39,23.350000000000364,0.8337280261155755,0.9999280293915013,9,893,2026-02-04T21:53:00+00:00,4970.39,signal_target
